evaluation_period,group_type,group_value,model,n,mae,rmse,wape,smape,uncensored_n
2024-06-26 to 2024-07-02,product,65,xgb_stockout_aware,7,0.20302080495016914,0.22313216975512773,0.35797119260735116,0.46993198728567526,6
2024-06-26 to 2024-07-02,product,66,seasonal_naive,7,0.2571428571428572,0.3545621041711674,0.27272727272727276,0.24700136464842348,2
2024-06-26 to 2024-07-02,product,66,xgb_observed_sales,7,0.24035950388227192,0.30405230523811916,0.25492674654180353,0.24181681026870144,2
2024-06-26 to 2024-07-02,product,66,xgb_stockout_aware,7,0.25086279937199185,0.28625188558704134,0.2660666053945368,0.2539953584138274,2
2024-06-26 to 2024-07-02,product,67,seasonal_naive,14,0.25785714285714284,0.34804556351965515,0.5640624999999999,0.5167913919040223,3
2024-06-26 to 2024-07-02,product,67,xgb_observed_sales,14,0.14148983997958048,0.16708952798238283,0.3095090249553323,0.3391851187860934,3
2024-06-26 to 2024-07-02,product,67,xgb_stockout_aware,14,0.13344573889459885,0.15821706080958525,0.29191255383193493,0.33595100228199565,3
2024-06-26 to 2024-07-02,product,69,seasonal_naive,14,0.1642857142857143,0.21876275473019363,0.6388888888888888,0.8119047619047619,7
2024-06-26 to 2024-07-02,product,69,xgb_observed_sales,14,0.1804565301963261,0.19912830307794158,0.7017753952079347,0.6033637407863416,7
2024-06-26 to 2024-07-02,product,69,xgb_stockout_aware,14,0.19570382024560656,0.21649257663911822,0.7610704120662477,0.6164088088519278,7
2024-06-26 to 2024-07-02,product,70,seasonal_naive,42,3.4785714285714286,4.047544817246505,0.5970576215774417,0.904500338876093,24
2024-06-26 to 2024-07-02,product,70,xgb_observed_sales,42,2.407130803380694,2.9534124912116195,0.4131569012749863,0.5327983333052205,24
2024-06-26 to 2024-07-02,product,70,xgb_stockout_aware,42,2.2329207885833013,2.9714028986895036,0.383255713610538,0.4550423909366349,24
2024-06-26 to 2024-07-02,product,71,seasonal_naive,28,0.5642857142857143,0.7151423434733616,0.7783251231527094,0.7666775035207511,11
2024-06-26 to 2024-07-02,product,71,xgb_observed_sales,28,0.43575536587408603,0.5351437086486284,0.6010418839642566,0.6626880735368169,11
2024-06-26 to 2024-07-02,product,71,xgb_stockout_aware,28,0.4814502903393336,0.6062463931723396,0.6640693659852878,0.6674468210120361,11
2024-06-26 to 2024-07-02,product,72,seasonal_naive,21,0.34761904761904766,0.443471156521669,0.8690476190476193,0.9417508417508416,13
2024-06-26 to 2024-07-02,product,72,xgb_observed_sales,21,0.20384490163553326,0.24681415803586776,0.5096122540888333,0.5487993620023858,13
2024-06-26 to 2024-07-02,product,72,xgb_stockout_aware,21,0.23664117171650845,0.2791217107091397,0.5916029292912712,0.6155436627409431,13
2024-06-26 to 2024-07-02,product,73,seasonal_naive,21,0.523809523809524,0.6279217421667402,0.28720626631853785,0.38953426816325243,9
2024-06-26 to 2024-07-02,product,73,xgb_observed_sales,21,0.5765325478145054,0.7358974283992837,0.316114451804298,0.3372052329165636,9
2024-06-26 to 2024-07-02,product,73,xgb_stockout_aware,21,0.4650766696248737,0.5879320328993252,0.2550028736846566,0.2858903052785908,9
2024-06-26 to 2024-07-02,product,74,seasonal_naive,7,0.16,0.20135256924821485,0.21333333333333335,0.2510583486758384,1
2024-06-26 to 2024-07-02,product,74,xgb_observed_sales,7,0.16126047713415964,0.17227411805984338,0.21501396951221285,0.234110705728868,1
2024-06-26 to 2024-07-02,product,74,xgb_stockout_aware,7,0.11683723756245204,0.1305343778495259,0.15578298341660274,0.1657696213443335,1
2024-06-26 to 2024-07-02,product,76,seasonal_naive,49,0.48346938775510206,0.5657810205948112,0.48895768833849335,0.565630248165813,22
2024-06-26 to 2024-07-02,product,76,xgb_observed_sales,49,0.37003903607932886,0.4655082251448509,0.3742396856117052,0.4433912673449866,22
2024-06-26 to 2024-07-02,product,76,xgb_stockout_aware,49,0.3684276590541918,0.458253990199678,0.3726100163809164,0.44548680162490994,22
2024-06-26 to 2024-07-02,product,77,seasonal_naive,7,0.6428571428571429,0.7625146368618583,1.2857142857142858,1.3635599694423224,1
2024-06-26 to 2024-07-02,product,77,xgb_observed_sales,7,0.29982274770736694,0.37279294449002753,0.5996454954147339,0.7624182092345576,1
2024-06-26 to 2024-07-02,product,77,xgb_stockout_aware,7,0.3452692542757307,0.42091463079373553,0.6905385085514614,0.7968928268226695,1
2024-06-26 to 2024-07-02,product,80,seasonal_naive,14,0.27214285714285713,0.34982648760288493,0.7485265225933201,0.6549517080572981,12
2024-06-26 to 2024-07-02,product,80,xgb_observed_sales,14,0.18906820740018573,0.23607189246091956,0.5200304329278193,0.4941133637682678,12
2024-06-26 to 2024-07-02,product,80,xgb_stockout_aware,14,0.1805978330544063,0.22367784271861263,0.4967327431751843,0.47822589470977345,12
2024-06-26 to 2024-07-02,product,81,seasonal_naive,7,0.7000000000000001,0.8392173224414009,0.9074074074074074,1.1402070393374741,2
2024-06-26 to 2024-07-02,product,81,xgb_observed_sales,7,0.3269960182053702,0.4652019209045293,0.42388372730325763,0.6785255710276701,2
2024-06-26 to 2024-07-02,product,81,xgb_stockout_aware,7,0.42682311023984637,0.5996030495413728,0.5532892169775786,0.6698558301633798,2
2024-06-26 to 2024-07-02,product,83,seasonal_naive,28,0.41535714285714276,0.5422736525830055,0.4974337040205302,0.5436097519031234,23
2024-06-26 to 2024-07-02,product,83,xgb_observed_sales,28,0.33836746369089393,0.4167925143557402,0.4052304954381963,0.4382256978911088,23
2024-06-26 to 2024-07-02,product,83,xgb_stockout_aware,28,0.34170697101524894,0.4144012047839239,0.4092299054074837,0.44046864926640517,23
2024-06-26 to 2024-07-02,product,90,seasonal_naive,21,0.8142857142857142,1.0965313275875672,0.5777027027027026,0.749016272179327,14
2024-06-26 to 2024-07-02,product,90,xgb_observed_sales,21,0.5812619958605085,0.765495965393002,0.4123818213875229,0.5030215542495673,14
2024-06-26 to 2024-07-02,product,90,xgb_stockout_aware,21,0.5601995820090884,0.7277544187333361,0.39743889264158294,0.47132530102699244,14
2024-06-26 to 2024-07-02,product,91,seasonal_naive,7,0.21428571428571427,0.23603873774083292,0.5357142857142857,0.7165976880262594,4
2024-06-26 to 2024-07-02,product,91,xgb_observed_sales,7,0.15411352855818614,0.20647123665414321,0.38528382139546535,0.5320635059152047,4
2024-06-26 to 2024-07-02,product,91,xgb_stockout_aware,7,0.14815741096224103,0.20043271807596,0.37039352740560255,0.5153597209814087,4
2024-06-26 to 2024-07-02,product,92,seasonal_naive,28,0.7964285714285714,1.0771987480762975,0.6578171091445426,0.9948569668130668,12
2024-06-26 to 2024-07-02,product,92,xgb_observed_sales,28,0.7432593196630476,0.9075975326572508,0.6139015029665289,0.7857715750655924,12
2024-06-26 to 2024-07-02,product,92,xgb_stockout_aware,28,0.7224846903766904,0.8588207150031718,0.5967425171252899,0.7290163102300256,12
2024-06-26 to 2024-07-02,product,93,seasonal_naive,28,0.22107142857142859,0.2963407787376843,0.3662721893491124,0.3663172092098459,19
2024-06-26 to 2024-07-02,product,93,xgb_observed_sales,28,0.16754296123981474,0.21731954100402692,0.27758597128490015,0.28370699174937136,19
2024-06-26 to 2024-07-02,product,93,xgb_stockout_aware,28,0.16883727375950133,0.21970811611845073,0.27973039439444003,0.2884013469434784,19
2024-06-26 to 2024-07-02,product,99,seasonal_naive,7,0.2914285714285714,0.45694638635183454,1.1333333333333333,0.6804421768707483,3
2024-06-26 to 2024-07-02,product,99,xgb_observed_sales,7,0.17759576184409004,0.25019790575017653,0.690650184949239,0.5792838745750336,3
2024-06-26 to 2024-07-02,product,99,xgb_stockout_aware,7,0.17837972896439688,0.24309633530568484,0.6936989459726545,0.5970321880189371,3
2024-06-26 to 2024-07-02,product,100,seasonal_naive,28,0.2357142857142857,0.280305955290694,0.9850746268656716,1.1611820718963577,15
2024-06-26 to 2024-07-02,product,100,xgb_observed_sales,28,0.21048078952091084,0.24920860354423996,0.8796212099381349,0.8636000752303277,15
2024-06-26 to 2024-07-02,product,100,xgb_stockout_aware,28,0.2003074955727373,0.24069996954808578,0.8371059516472603,0.8263227854877405,15
2024-06-26 to 2024-07-02,product,102,seasonal_naive,14,0.4857142857142857,0.6187545093630775,0.40236686390532544,0.747224476030299,5
2024-06-26 to 2024-07-02,product,102,xgb_observed_sales,14,0.4210036064897265,0.49070759590301194,0.3487603840743297,0.649178463512617,5
2024-06-26 to 2024-07-02,product,102,xgb_stockout_aware,14,0.42645472288131714,0.504203127111008,0.353276101795174,0.6033128325553923,5
2024-06-26 to 2024-07-02,product,103,seasonal_naive,7,0.24285714285714285,0.280305955290694,0.4594594594594595,0.5661100803957947,3
2024-06-26 to 2024-07-02,product,103,xgb_observed_sales,7,0.18097073010035922,0.1986469283325767,0.34237705694662557,0.38966202791739146,3
2024-06-26 to 2024-07-02,product,103,xgb_stockout_aware,7,0.2245172917842865,0.23555234856777205,0.4247624439162177,0.48908228293641,3
2024-06-26 to 2024-07-02,product,104,seasonal_naive,21,1.2142857142857142,1.504121322360983,0.45698924731182794,0.44581788159520824,15
2024-06-26 to 2024-07-02,product,104,xgb_observed_sales,21,0.7700299297060286,1.0957951424988785,0.28979621010441936,0.33913443933934984,15
2024-06-26 to 2024-07-02,product,104,xgb_stockout_aware,21,0.7914509830020723,1.1193220002855924,0.29785789682873687,0.3315625049286958,15
2024-06-26 to 2024-07-02,product,108,seasonal_naive,35,0.3202857142857143,0.3980703455420913,0.6405714285714286,0.8877954013502186,20
2024-06-26 to 2024-07-02,product,108,xgb_observed_sales,35,0.20801987034933905,0.2530587262721106,0.4160397406986781,0.4942541715045807,20
2024-06-26 to 2024-07-02,product,108,xgb_stockout_aware,35,0.16928863491330828,0.2187488981167052,0.33857726982661657,0.3912353600526295,20
